.index,.value,.conf_lo,.conf_hi,Month
22/05/2023,1.694365442,-4.157051869,7.545782753,9 months
23/05/2023,1.842476312,-4.008940999,7.693893624,9 months
24/05/2023,1.861343892,-3.990073419,7.712761204,9 months
25/05/2023,2.016597544,-3.834819768,7.868014855,9 months
26/05/2023,1.811530944,-4.039886367,7.662948255,9 months
27/05/2023,1.751264431,-4.10015288,7.602681743,9 months
28/05/2023,1.879379889,-3.972037423,7.7307972,9 months
29/05/2023,1.366324182,-4.48509313,7.217741493,9 months
30/05/2023,1.519001898,-4.332415413,7.370419209,9 months
31/05/2023,1.544468171,-4.30694914,7.395885483,9 months
01/06/2023,2.42593938,-3.425477931,8.277356692,9 months
02/06/2023,2.453826954,-3.397590357,8.305244266,9 months
03/06/2023,2.405845107,-3.445572204,8.257262419,9 months
04/06/2023,2.63378845,-3.217628861,8.485205762,9 months
05/06/2023,2.136373064,-3.715044248,7.987790375,9 months
06/06/2023,2.306213591,-3.545203721,8.157630902,9 months
07/06/2023,2.094958781,-3.75645853,7.946376092,9 months
08/06/2023,2.278644128,-3.572773183,8.130061439,9 months
09/06/2023,2.105073818,-3.746343494,7.956491129,9 months
10/06/2023,2.079158107,-3.772259204,7.930575418,9 months
11/06/2023,1.705334751,-4.146082561,7.556752062,9 months
12/06/2023,1.231659881,-4.61975743,7.083077192,9 months
12/05/2022,4.707935602,NA,NA,10 months
13/05/2022,3.025999306,NA,NA,10 months
14/05/2022,2.652584722,NA,NA,10 months
15/05/2022,3.176898611,NA,NA,10 months
16/05/2022,3.199274306,NA,NA,10 months
17/05/2022,2.775901389,NA,NA,10 months
18/05/2022,2.69595625,NA,NA,10 months
19/05/2022,2.640545139,NA,NA,10 months
20/05/2022,1.935965972,NA,NA,10 months
21/05/2022,2.38895415,NA,NA,10 months
24/05/2022,0.762715966,NA,NA,10 months
25/05/2022,2.151674306,NA,NA,10 months
26/05/2022,2.745491111,NA,NA,10 months
31/05/2022,0.794618182,NA,NA,10 months
01/06/2022,2.029339024,NA,NA,10 months
02/06/2022,2.484563542,NA,NA,10 months
03/06/2022,2.88139375,NA,NA,10 months
04/06/2022,2.595713194,NA,NA,10 months
05/06/2022,2.010494444,NA,NA,10 months
06/06/2022,2.638295833,NA,NA,10 months
07/06/2022,2.779093056,NA,NA,10 months
08/06/2022,1.428313986,NA,NA,10 months
09/06/2022,0.914211458,NA,NA,10 months
10/06/2022,2.171935069,NA,NA,10 months
11/06/2022,2.765937847,NA,NA,10 months
12/06/2022,2.286890625,NA,NA,10 months
13/06/2022,1.559672917,NA,NA,10 months
14/06/2022,0.494092014,NA,NA,10 months
15/06/2022,1.289817822,NA,NA,10 months
16/06/2022,1.545923684,NA,NA,10 months
